StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,"18yrold ","Consent ","GC1 ",GC1_note,"GC2 ","GC2_note ","GC3 ",GC3_note,"GC4 ","GC4_note ","GC6 ","GC6_note ","GC8 ","GC8_note ","GC10 ","GC10_note ","GC11 ","GC11_note ","GC12 ","GC12_note ","GC13 ","GC13_note ","GC14 ","GC14_note ",GC16,GC16_note,"GC18 ","GC18_note ","GC19 ","GC19_note ","GC20 ","GC20_note ",GC22,GC22_note,"GC24 ","GC24_note ","SL1 ","SL1_note ","SL2 ","SL2_note ","SL3 ","SL3_note ","SL4 ","SL4_note ","SL6 ","SL6_note ","SL7 ","SL7_note ","SL9 ","SL9_note ","SL10 ","SL10_note ","SL12 ","SL12_note ",SL15,"SL15 ","SL17 ","SL17 ","SL18 ",SL18_note,"SL19 ","SL19 ","SL20 ","SL20_note ","SL22 ","SL22_note ","End_eval ","IDcode ","Nationality "
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Are you aged 18 or older?,Do you consent to taking part in this study?,I felt more connected with people because of the music,Notes about this item,I felt a bond with the other people listening to the music,Notes about this item,The music demonstrated what cultural group I belong to,Notes about this item,The music provided a sense of connection,Notes about this item,Having similar music tastes made me feel connected to others,Notes about this item,The music made me feel connected with others,Notes about this item,Sharing the music with others enhanced my enjoyment,Notes about this item,I felt connected to the people I was sharing this musical experience with,Notes about this item,The music was something my peers would like,Notes about this item,The music expressed the uniqueness of my culture,Notes about this item,Peer pressure influenced how I engaged with the music,Notes about this item,The music made me feel more connected to a group,Notes about this item,Listening to the music reminded me of how much my friends like it,Notes about this item,I felt compelled to conform to others' musical preferences,Notes about this item,The music was bringing people together,Notes about this item,I connected with whomever was choosing the music for me,Notes about this item,The music chosen by the group was better than what I would have picked,Notes about this item,The music kept me company,Notes about this item,I liked singing or playing along with the performers,Notes about this item,I felt lonely while listening to the music,Notes about this item,The music made me feel like someone understood me,Notes about this item,Listening to the music made me feel less lonely,Notes about this item,Listening to the music was a social experience,Notes about this item,The music made me feel connected to the people I care about,Notes about this item,"I felt comforted by the music, as if it understood me",Notes about this item,The music helped me feel closer to people,Notes about this item,The music helped me feel closer to what I love,Notes about this item,The music helped me feel less alone,Notes about this item,I felt a special connection to a person I shared this music with,Notes about this item,The music felt like a friend who understood my worries,Notes about this item,I felt annoyed that someone interrupted the music,Notes about this item,The music kept me from feeling lonely,Notes about this item,Were there aspects of Connection-Belonging which you thought were missing or under represented in the item pool? Or similar concepts missing which need to be addressed?,"Please input an identification code using this format: ""initial of your last name + institutional abbreviation"" 

For example, someone named 'Kirts' at 'Durham University' would write the code: KDU",What is your nationality?
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1217486525""}","{""ImportId"":""QID1217486526""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66_TEXT""}","{""ImportId"":""QID1217486527_TEXT""}","{""ImportId"":""QID1217486528_TEXT""}","{""ImportId"":""QID1217486529_TEXT""}"
2024-07-16 11:20:40,2024-07-16 11:24:54,IP Address,100,254,True,2024-07-16 11:24:55,R_2Vg8iSXq0UUGamc,anonymous,EN,,,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,partially reward question,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,"this can be about something else (social status, peer pressure) but it has some link to connection ",Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,"Can be related to functions of music (e.g. somebody doing an aerobic class) and not connections ",Slightly Relevant,might be about reward and something else (situation),Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,"this can be about the context ",Extremely Relevant,,,,
2024-08-12 17:13:25,2024-08-12 17:18:05,IP Address,100,280,True,2024-08-12 17:18:06,R_22nW59FUZLH56HN,anonymous,EN,,,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,Moderately Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Slightly Relevant,,Slightly Relevant,,Moderately Relevant,,Slightly Relevant,,Slightly Relevant,,Moderately Relevant,,Slightly Relevant,,Slightly Relevant,,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,,Not Relevant,,Slightly Relevant,,,,
2024-09-27 08:44:45,2024-09-27 08:51:01,IP Address,100,376,True,2024-09-27 08:51:02,R_2s09KhFHj00crj3,anonymous,EN,1,Yes,Yes,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,,Extremely Relevant,,Slightly Relevant,,Slightly Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Slightly Relevant,,Extremely Relevant,,Not Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Not Relevant,,Moderately Relevant,,Consider looking at Bannister et al.'s work on the pseudo-social experience and Schramm and Haartman's work on para-social interactions,OUoY,"British "
2024-10-02 19:22:33,2024-10-02 19:44:24,IP Address,100,1310,True,2024-10-02 19:44:24,R_20UpNQUqCoj9PpP,anonymous,EN,1,Yes,Yes,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,a bit vague,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Slightly Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,only relevant if the person didn't choose the music,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,this item is less about people than some of the others,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Slightly Relevant,seems like this would only happen ocassionally,Extremely Relevant,,,JDU,USA
2024-10-04 16:15:02,2024-10-04 16:46:39,IP Address,100,1897,True,2024-10-04 16:46:40,R_2PrvNbFhGt8V0uR,anonymous,EN,1,Yes,Yes,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,"The phrasing seems a little odd here. Perhaps ""cultural identity""?",Slightly Relevant,"this can be social too, but the connection could be with anything",Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,Music as the cause of generating a new goal,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Not Relevant,,Moderately Relevant,"Could be confused with PEP: coping, but certainly has a CB component too",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,"Again, a more personal coping suggests the PEP episode, with a social twist",Extremely Relevant,,Slightly Relevant,"this could be more specific - if what you love has a social component ",Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,"The social aspect seems well represented in cognitive, affective, motivational, and social terms.

CB does appear to be the only episode so far that balances positive and negative experiences from musical social interactions more evenly. The other episodes appear more positively interpreted minus a few items.",TML,British
2024-10-06 14:50:54,2024-10-06 15:01:28,IP Address,100,633,True,2024-10-06 15:01:29,R_8HAMAm7qUKKgQZT,anonymous,EN,,Yes,Yes,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Extremely Relevant,,Slightly Relevant,,Extremely Relevant,maybe also Musical Meaning?,Slightly Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Not Relevant,measure more self-judgment?,Extremely Relevant,,Slightly Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,,"might sound a bit off to lay people ""social experience"", maybe experience with others?",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Not Relevant,more to Musical Meaning?,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Not Relevant,,Extremely Relevant,,maybe there were some overlaps with the Musical Meaning (esp regarding the culture),KJYU,German
2024-10-06 17:29:45,2024-10-06 17:41:09,IP Address,100,683,True,2024-10-06 17:41:10,R_7n0CdxbuZhL0sP7,anonymous,EN,0.6000000238418579,Yes,Yes,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,Some overlap with  MM - source,Moderately Relevant,"I think this would be more relevant if it explicitly states the connection is with others, rather than with the music itself. A later prompt says ""connection with others"", so this one may not be necessary",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,"Perhaps this could be rephrased as ""I thought about sharing this music with my peers"" to emphasize the group cohesion aspect",Slightly Relevant,Seems more relevant to MM - self or source,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,"I think this one is clearer than ""The music was something my peers would like""",Extremely Relevant,,Extremely Relevant,"Could be rephrased as ""The music brought people together""",Moderately Relevant,Is the respondent connecting with whomever is choosing the music *because of the music?,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,"This seems more central to LMA - Emotional. Should this say ""I felt lonely before listening""? Or ""I felt less lonely after listening""?",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,Also relevant to LMA - emotional,Extremely Relevant,,Extremely Relevant,,Not Relevant,"Seems unrelated to the content depictions ",Extremely Relevant,,This pool seemed very strong and most prompts captured the content depictions well.,AMU,Canadian
2024-10-08 01:59:28,2024-10-08 02:04:38,IP Address,100,309,True,2024-10-08 02:04:39,R_4e0rGrltnDdZsbL,anonymous,EN,1,Yes,Yes,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,Slightly Relevant,,Slightly Relevant,,Slightly Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Slightly Relevant,,Extremely Relevant,,Moderately Relevant,,Not Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,Extremely Relevant,,Slightly Relevant,,Slightly Relevant,,,NUNSW,Chinese
