StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,"18 years old? ","Consent ",EM2,"EM2_note ","EM3 ","EM3_note ","EM5 ","EM5_note ","EM6 ","EM6_note ","EM7 ","EM7_note ","EM9 ","EM9 ","EM10 ","EM10_note ","EM12 ","EM12_note ","EM13 ","EM13_note ","EM14 ","EM14_note ","EM16 ",EM16_note,"EM17 ","EM17_note ","EM18 ","EM18_note ","EM20 ","EM20_note ","EM21 ","EM21_note ","EM22 ","EM22_note ","EM23 ","EM23_note ","MF2 ","MF2_note ","MF3 ","MF3_note ","MF4 ","MF4_note ","MF5 ","MF5_note ","MF6 ","MF6_note ","MF7 ","MF7_note ","MF8 ","MF8_note ","MF11 ","MF11_note ","MF12 ","MF12_note ","MF15 ","MF15_note ","MF18 ","MF18_note ","MF20 ","MF20 ","MF21 ","MF21_note ","MF23 ","MF23_note ",End Eval - FM ,"IDCode ","Nationality "
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Are you aged 18 or older?,Do you consent to taking part in this study?,The music pumped me up,Notes about the item,I was energised from listening to the music,Notes about the item,Listening to the music made me excited,Notes about the item,I knew the music would improve my mood,Notes about the item,Listening to the music enhanced my mood,Notes about the item,I listened to the music to reduce my anxiety,Notes about the item,Listening to the music perked me up,Notes about the item,I wanted the music to take thoughts out of my head,Notes about the item,The music made the experience to be less boring,Notes about the item,Listening the the music made me more alert,Notes about the item,I wanted the music to take my mind off of things,Notes about the item,The music motivated me to get ready,Notes about the item,The music improved my focus,Notes about the item,Someone told me this music would improve my mood,Notes about the item,The music was a socially appropriate way of improving my mood,Notes about the item,Someone told me this music was good for getting pumped up,Notes about the item,I wanted to control the music so I could motivate myself,Notes about the item,Music helped me focus on what I was doing,Notes about the item,The music motivated me,Notes about the item,The music made it easy to keep track of my thoughts and feelings,Notes about the item,The music let me focus on the present moment,Notes about the item,I was so caught up in the music that I did not notice anything else,Notes about the item,The music distracted me from what I wanted to do,Notes about the item,Being motivated by the music felt productive,Notes about the item,I wanted the music to motivate me,Notes about the item,The music helped me accomplish work I needed to do,Notes about the item,I needed music on in the background,Notes about the item,Listening to music made time pass faster,Notes about the item,This was the music people said I needed to use in order to focus,Notes about the item,The music I was listening to would have made people assume I was motivating myself,Notes about the item,I chose to listen to music to help me focus,Notes about the item,Were there aspects of Focus-Motivation which you thought were missing or under represented in the item pool? Or similar concepts missing which need to be addressed?,"Please input an identification code using this format: ""initial of your last name + institutional abbreviation"" 

For example, someone named 'Kirts' at 'Durham University' would write the code: KDU",What is your nationality?
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID68""}","{""ImportId"":""QID66""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID70_TEXT""}"
2024-07-16 11:25:06,2024-07-16 11:28:32,IP Address,100,205,True,2024-07-16 11:28:33,R_8cmIPDBWeKdwEi5,anonymous,EN,,,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,This can be about arousal/reward etc,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Not Relevant,distraction?,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,EDR as in distraction,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,These were relatively easy. Something about getting into Zone or maintaining focus could have been there.,,
2024-08-12 17:18:15,2024-08-12 17:22:52,IP Address,100,276,True,2024-08-12 17:22:53,R_8SyHHlRDjrRXLPz,anonymous,EN,,,,Slightly Relevant,,Slightly Relevant,,Slightly Relevant,,Not Relevant,,Slightly Relevant,,Not Relevant,,Not Relevant,,Slightly Relevant,,Extremely Relevant,,Moderately Relevant,,Not Relevant,,Extremely Relevant,,Extremely Relevant,,Not Relevant,,Not Relevant,,Not Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,Extremely Relevant,,Not Relevant,,Moderately Relevant,This should probably be reverse-scored,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Slightly Relevant,,Not Relevant,,Not Relevant,,Extremely Relevant,,,,
2024-09-06 09:47:54,2024-09-06 09:48:19,Survey Preview,100,25,True,2024-09-06 09:48:19,R_8JDU2b1ci7drk0K,preview,EN,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06 09:55:13,2024-09-06 09:55:40,Survey Preview,100,26,True,2024-09-06 09:55:41,R_8Jgu5KbNXdnUwyr,preview,EN,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06 10:52:36,2024-09-06 10:53:51,Survey Preview,100,74,True,2024-09-06 10:53:51,R_2B8w27nwRdnVQpi,preview,EN,1,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDU,
2024-09-24 12:42:04,2024-09-24 12:46:01,IP Address,100,236,True,2024-09-24 12:46:02,R_8qkW7pK7dvNyynN,anonymous,EN,1,Yes,Yes,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,,"Do you need 'of' in this question? ",Extremely Relevant,,Extremely Relevant,,Not Relevant,"Not sure why this matters? ",Moderately Relevant,,Not Relevant,"Same as before, relevance? ",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,"This is almost like flow? ",Moderately Relevant,,Slightly Relevant,,Slightly Relevant,,Extremely Relevant,,Not Relevant,Why?,Extremely Relevant,"Again, bit like flow?",Not Relevant,Hard to apply,Not Relevant,This is quite a complex concept,Extremely Relevant,,"I am not sure the items relating to advice from others are very helpful. ",OUoY,British
2024-10-03 09:17:47,2024-10-03 09:23:28,IP Address,100,340,True,2024-10-03 09:23:28,R_2ZOdSa2DO5hA4xP,anonymous,EN,1,Yes,Yes,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,,Slightly Relevant,,Slightly Relevant,,Slightly Relevant,,Slightly Relevant,,Moderately Relevant,,Slightly Relevant,,Slightly Relevant,,Moderately Relevant,,Slightly Relevant,only relevant when get ready for something,Extremely Relevant,,Slightly Relevant,,Slightly Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,somewhat complicated wording,Extremely Relevant,,,JDU,USA
2024-10-04 14:44:24,2024-10-04 16:00:24,IP Address,100,4560,True,2024-10-04 16:00:25,R_8F3t4v6MTMj8vB1,anonymous,EN,1,Yes,Yes,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,Overlaps with EDR: distraction,Extremely Relevant,,Moderately Relevant,"can be confused with EDR: distraction, if the thoughts to be removed are stressors or anxiety related. However, it could be focused as something like ""stops my mind wandering"" / ""keeps my thoughts focused""",Slightly Relevant,EDR: distraction overlap. Is the distinction between the two captured episodes captured most by who much attention is being placed on the music?,Not Relevant,,Slightly Relevant,to support another goal or just to stop the thoughts?,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,This seems more like a CB episode - listening because of the social pressure implied by someone offering advice. I'd suggest the goal here is maintaining or building social relationships,Extremely Relevant,,,"again, seems very CB related with a focus of FM, but appraisals of agency and coping potential (in this sense your willingness to try new music at any particular moment) seem relevant ",Moderately Relevant,,Extremely Relevant,,,"to keep going, or to start a new task? the first would appear appropriate to the FM episode, the second less so.",Slightly Relevant,"If keeping track of feelings is the task, it appears more related to PEP episodes. ",Moderately Relevant,,Moderately Relevant,,Not Relevant,,Extremely Relevant,,Moderately Relevant,"as a goal to be achieved it could be confused with EDR: Enjoyment motivations too. Or perhaps EDR: enjoyment episodes are subsumed by the FM episodes, but prevalent enough to warrant a separate category",Extremely Relevant,,Slightly Relevant,"to aid with my task, or this could be confused with EDR: distraction or just about any unfocused listening goal / adjacent goal",Slightly Relevant,"Heavily overlaps with EDR: distraction. Certain specific goals will show such overlaps between episode types, but if the goal is to capture the core of the episodes this could be confusing",Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,"The core components of self-actualisation seems absent. Music as a aid to fulfilling ones 'true' potential and as a task aid that improves the quality of the task being done.

There may be a missing social aspect of this in group work. (e.g. we work better together, music keeps us on task; music motivates us; etc.)",TML,British
