StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,"18yrold ","Consent ","ST1 ","ST1_note ","ST3_note ","ST3_note ","ST4 ","ST4_note ","ST5 ","ST5_note ","ST6 ","ST6_note ","ST7 ","ST7_note ","ST9 ","ST9_note ","ST10 ","ST10_note ","ST12 ",ST12_note,"ST13 ","ST13_note ","ST14 ","ST14_note ","ST15 ","ST15_note ","ST16 ","ST16_note ","ST17 ",ST17_note,"ST21 ","ST21_note ","ST22 ","ST22_note ","SE1 ","SE1_note ","SE2 ","SE2_note ","SE3 ","SE3_note ","SE4 ","SE4_note ","SE5 ","SE5_note ","SE6 ","SE6_note ","SE7 ","SE7_note ","SE8 ","SE8_note ","SE9 ","SE9_note ","SE10 ","SE10_note ","SE11 ","SE11_note ","SE12 ","SE12 ","SE13 ","SE13_note ","SE14 ","SE14_note ","SE15 ","SE15_note ","SE17 ","SE17_note ","SE18 ","SE18_note ","SE21 ","SE21_note ","SE22 ","SE22_note ","SO2 ","SO2_note ","SO6 ","SO6_note ","SO8 ","SO8_note ","SO9 ","SO9_note ","SO10 ","SO10_note ","SO11 ","SO11_note ","SO12 ","SO12_note ","SO13 ","SO13_note ","SO14 ","SO14_note ","SO15 ","SO15_note ","SO16 ","SO16_note ","SO17 ","SO17_note ","SO18 ","SO18_note ","SO19 ","SO19_note ","SO20 ","SO20_note ","SO21 ","SO21_note ","SO22 ","SO22_note ","SO25 ","SO25_note ","SO26 ","SO26_note ","End_eval ","IDcode ","Nationality "
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Are you aged 18 or older?,Do you consent to taking part in this study?,The content of the music helped me understand what it was trying to say,Notes on this item,I found meaning by listening to individual parts of the music,Notes on this item,I was interested in understanding the structure of the music,Notes on this item,I tried to understand the music completely,Notes on this item,Specific parts of the music create the meaning of the whole piece for me,Notes on this item,I was impacted by meaningful moments in the music,Notes on this item,The musical structure meant something because of how it made me feel,Notes on this item,My emotions were aligned with the expression of emotion coming from the music,Notes on this item,The music expressed something that I could not express in words,Notes on this item,"The harmony, melody, or rhythm prepared me for upcoming changes",Notes on this item,Understanding the meaning behind the musical structure prepared me for new experiences,Notes on this item,I found something meaningful in the music,Notes on this item,I learned what parts were important for developing the meaning of the music,Notes on this item,I tried to understand what the music was trying to communicate,Notes on this item,The things that made up the music are important to me,Notes on this item,How the music is structured is important to me,Notes on this item,The music expressed something personal and touching to me,Notes on this item,I found the lyrics to be personally meaningful,Notes on this item,The music affected my personal identity,Notes on this item,I was reminded of a past experience I had with this type of music,Notes on this item,The music made me stop what I was doing to appreciate it fully,Notes on this item,The music helped me understand myself,Notes on this item,I recognized elements of myself in the lyrics,Notes on this item,The music reminded me of personal memories,Notes on this item,I always think of the same person when I hear this type of music,Notes on this item,The music encapsulates a certain time of my life,Notes on this item,The experience was meaningful because the music gave me an unforgettable moment,Notes on this item,I associate this music with specific memories,Notes on this item,I associate this music with particular values I want to have,Notes on this item,The music helped me learn something about myself,Notes on this item,I felt free to be who ever I wanted to be when the music came on,Notes on this item,The music added something to the meaning of myself,Notes on this item,I remembered an experience I had while listening to this music with others,Notes on this item,The music was meaningful to someone I know,Notes on this item,The experience was so important that I had to have my own music,Notes on this item,The music is important to my cultural history or identity,Notes on this item,I got meaning by imagining the musicians playing and performing,Notes on this item,The music acted as an relic of its era for what it means to me now,Notes on this item,I was thinking about the emotional life of the composer or musician,Notes on this item,I understood the emotional meaning the composer / performer was trying to express,Notes on this item,I admired the technique of the musicians,Notes on this item,The music helped me understand what others might be going through,Notes on this item,The music helped me sympathise with issues bigger than myself,Notes on this item,I connected to what the artist was trying to create the music to mean,Notes on this item,The music informed me about what was popular,Notes on this item,The music made me feel up to date with what my friends listen to,Notes on this item,I listened because I'm interested in the musicians or band,Notes on this item,I learned more about the world through the musical experience,Notes on this item,Listening to music expressed my political attitude,Notes on this item,I identified with the artists who made the music,Notes on this item,I cared about what life the artist had at the time they produced the music,Notes on this item,I was interested in how the different performers came together to produce the music,Notes on this item,The meaning of the music was similar to other songs or pieces I know,Notes on this item,I had to consider the historical context of the music to understand it's meaning,Notes on this item,Were there aspects of Musical Meaning which you thought were missing or under represented in the item pool? Or similar concepts missing which need to be addressed?,"Please input an identification code using this format: ""initial of your last name + institutional abbreviation"" 

For example, someone named 'Kirts' at 'Durham University' would write the code: KDU",What is your nationality?
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1217486648""}","{""ImportId"":""QID1217486649""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66_TEXT""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68_TEXT""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID72""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74_TEXT""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78_TEXT""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80_TEXT""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82_TEXT""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84_TEXT""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86_TEXT""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88_TEXT""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90_TEXT""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92_TEXT""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94_TEXT""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96_TEXT""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98_TEXT""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100_TEXT""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102_TEXT""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104_TEXT""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106_TEXT""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108_TEXT""}","{""ImportId"":""QID1217486642_TEXT""}","{""ImportId"":""QID1217486643_TEXT""}","{""ImportId"":""QID1217486644_TEXT""}"
2024-07-17 12:33:48,2024-07-17 12:51:33,IP Address,100,1065,True,2024-07-17 12:51:34,R_8iyFnQzM9OXjuGB,anonymous,EN,,,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,,Slightly Relevant,I just feel this is too much EMphasis on structural analysis,Slightly Relevant,Fairly specialist question,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,Somewhat vague,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,Nice non expert that does not really specify the contents but still signals importance,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,Central lyrics question,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,"But vague ",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Slightly Relevant,The meaningfulness of this is uncertain,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,The word if feels odd here…. This only applies IF,Slightly Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,"The logo in the survey is actually Durham Business School ",Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,Typo,,,
2024-08-12 18:41:52,2024-08-12 18:49:30,IP Address,100,458,True,2024-08-12 18:49:31,R_2QyhPnf3ecmZkaF,anonymous,EN,,,,Slightly Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Slightly Relevant,,Moderately Relevant,,Slightly Relevant,,Moderately Relevant,,Slightly Relevant,,Moderately Relevant,,Slightly Relevant,,Slightly Relevant,,Slightly Relevant,,Slightly Relevant,,Slightly Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Slightly Relevant,,Slightly Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Moderately Relevant,,Slightly Relevant,,Moderately Relevant,,,,
2024-09-26 09:14:30,2024-09-26 09:24:24,IP Address,100,594,True,2024-09-26 09:24:25,R_2rBFFteY96JQf79,anonymous,EN,1,Yes,Yes,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,"upcoming changes in the music, or in life?",Slightly Relevant,,Extremely Relevant,,Slightly Relevant,'what parts' is a bit vague,Extremely Relevant,,Slightly Relevant,'things' is quite vague,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,though not relevant for instrumental music,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,more about focus than musical meaning?,Extremely Relevant,,Extremely Relevant,relevant only for music w/ lyrics,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,'want to have' or 'have'?,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,'meaning of myself' - is this different from 'identity'?,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,don't quite understand this,Extremely Relevant,perhaps split identity and cultural history into two items,Moderately Relevant,"""I got meaning"" is a bit strange wording",Slightly Relevant,wording a bit confusing,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,wording a bit confusing to follow,Moderately Relevant,popular when?,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,'came together' musically or practically (e.g. how the band formed)?,Moderately Relevant,,Extremely Relevant,it's should be its,,JDU,USA
2024-10-05 16:20:46,2024-10-05 17:26:16,IP Address,100,3929,True,2024-10-05 17:26:17,R_59oggSoTKhNAAC2,anonymous,EN,0.5,Yes,Yes,Extremely Relevant,,Extremely Relevant,Also relevant to LMA - reduced/causal and structural,Extremely Relevant,Also relevant to LMA - reduced/causal and structural,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,Also relevant to LMA - emotional,Slightly Relevant,More relevant to LMA - emotional,Extremely Relevant,,Slightly Relevant,"Seems more relevant to LMA ",Extremely Relevant,Very relevant,Extremely Relevant,,,"I think there are other prompts that capture the goal of this prompt more directly, though they don't get at ""developing meaning over time"" as directly",Moderately Relevant,Also relevant to LMA Reduced/Causal,Moderately Relevant,Other prompts seem to capture this more directly in my opinion,Extremely Relevant,,Extremely Relevant,Highly relevant and clear,Moderately Relevant,"I choose ""moderately relevant"" only because it applies specifically to songs with lyrics. Captures the source construct",Extremely Relevant,"This is relevant, though somewhat challenging to grasp. Is it continued exposure/engagement with the music over a long period that affected the personal identity? If so, what aspects?",Moderately Relevant,"This seems to have some overlap with E&R, specifically ""familiarity"" constuct, but I agree this also intersects with the ""Self"" construct of MM",Not Relevant,"I don't think this item touches on the ""meaning"" specifically, and seems more relevant to LMA",Moderately Relevant,"I wonder if making the link to ""meaning"" more directly would help here. I was thinking of Langer's musical isomorphism, where aspects of the music mimic the structure of a personal memory/experience",Extremely Relevant,,Extremely Relevant,,Moderately Relevant,Relevant also to LMA - associative and CB episode,Extremely Relevant,,Extremely Relevant,"I think this is very relevant, though the grammar may be tweaked slightly to avoid personifying music. Such as ""I felt the experience was unforgettable because of a moment in the music"". I'm not sure if what's unforgettable is the experience or a moment in the music, though",Extremely Relevant,Also relevant to LMA - associative,Slightly Relevant,This one is a little more nuanced and may cause some confusion. I also think this captures LMA - associative more closely,Extremely Relevant,Captures self-referential meaning,Extremely Relevant,,Extremely Relevant,"I'm not sure how often someone in an experiment would rate this item highly as it refers to long-term changes in the sense of self, but it is nonetheless relevant to the self construct of MM",Moderately Relevant,Seems more relevant to E&R - familiarity or LMA - associative,Extremely Relevant,,Moderately Relevant,"The language at the end is a little confusing. Does this refer to selectively choosing music (such as a song or playlist) to accompany the experience? If so, this may overlap with FM - energy control",Extremely Relevant,,Extremely Relevant,"Not sure if this refers to sense of personal meaning, or understanding the expressed meaning of the music. Either way, it's relevant, but if there's a specific goal with this prompt, it may be revised",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,"I think the connection to musical meaning might be made more explicit, such as ""The technique of the musicians helped me realize the music's meaning""",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,"Could this be tweaked to ""I connected with the musical meaning intended by the artist""?",Slightly Relevant,Not entirely sure what this one refers to,Moderately Relevant,Also relevant to CB - group cohesion/socialization,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,"Would it be clearer to say ""The music expressed my political attitude""?",Extremely Relevant,,Extremely Relevant,"produced could be substitued with ""created"" to avoid association with musical production",Extremely Relevant,"produced could be substitued with ""created"" to avoid association with musical production",Extremely Relevant,,Extremely Relevant,"Should say ""its meaning""","This category seems inspired by Thompson et al's paper on musical appreciation. I think I would like to see more representation of historic and sociopolitical context, and how extramusical meaning (like some non-musical aesthetics) play a role in the meaning. I was thinking of iconic associations like MF Doom's mask",AMU,Canadian
2024-10-06 13:19:19,2024-10-06 13:29:12,IP Address,100,593,True,2024-10-06 13:29:12,R_8PBv4onwU2feNot,anonymous,EN,1,Yes,Yes,Not Relevant,sounds a bit trivial,Slightly Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,Not Relevant,,Extremely Relevant,,Slightly Relevant,,Extremely Relevant,,,what are the things that make up music?,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,sounds a bit absract,Moderately Relevant,,Not Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Moderately Relevant,,Extremely Relevant,,Not Relevant,"what is the ""meaning of myself""",Moderately Relevant,,Extremely Relevant,"maybe ""someone who is close to me""?",,don't understand the item,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Not Relevant,,Extremely Relevant,,Extremely Relevant,,,"too complex, didn't understand ",Not Relevant,,Moderately Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Not Relevant,,Slightly Relevant,,Moderately Relevant,,Extremely Relevant,typo (its),,KYU,German
2024-10-08 01:06:18,2024-10-08 01:44:45,IP Address,100,2306,True,2024-10-08 01:44:46,R_49aaBbuSxlFQWUz,anonymous,EN,1,Yes,Yes,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Not Relevant,should belong to Listening Modes & Agency,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Not Relevant,change ‘added’ to 'activated',Extremely Relevant,,Moderately Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,I learned more about the world through music,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,,NUNSW,Chinese
2024-10-12 13:20:41,2024-10-12 16:08:54,IP Address,100,10092,True,2024-10-12 16:08:54,R_8OKdDfeMueibhPu,anonymous,EN,1,Yes,Yes,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,"Not sure if this represents self or structural ",Moderately Relevant,"meaning of the music sounds strange in this context and non-specific. My suggestion would be to break this idea down further into specific situational components e.g. ""I learned which musical elements were most important for understanding the emotional or symbolic meaning of the music.""; ""I learned which parts of the music were key to shaping my emotional response or connection to its meaning.""; ""I learned which parts of the music were important for interpreting its meaning or guiding my emotional reactions."" I feel this better clarifies the types of meaning",Moderately Relevant,"I think this is an incredibly important item in highlighting the search for meaning. However, this goal does not appear to capture a type of musical meaning but instead the absence of it. It this sense, I don't feel it fits well into any of the three given categories. Instead, it could be the search for but absence of any of the three constructs. Could this item be more specifically adapted to capture the absence of meaning in each of the three constructs (structure, self, source).",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Not Relevant,"This item better captures a change in goals, but doesn't capture a specific type of meaning",Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,"The phrase ""be whoever I wanted to be"" seems broad. Suggestion: is meant to assess emotional freedom, self-exploration, or social identity.",Slightly Relevant,"Not entirely sure what this is meant to mean ",Extremely Relevant,,Extremely Relevant,,Not Relevant,This item represent agency more than meaning,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,This item appears to be blur the source and self constructs,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,"Three points: one regarding the greater inclusion on lyrics into musical meaning, a second regarding lack of meaning, and a third regarding depth of meaning.

First: Lyrics are clearly presented in relation to self-meaning and some what in social-meaning, but could be more equally represented across the three types of meaning. For instance, in structural-meaning items that focus is on how the lyrical content interacts with musical elements (e.g., rhythm, phrasing, and harmony) and/or how it fits or contrasts with the overall musical composition. 

With regard to social-meaning, lyrics relating to the broader cultural, historical, or sociopolitical ideas are there. However, these could be expanded to capture ideas such as lyrics challenge or reinforce social norms, offering critique or support of cultural practices; the lyrics empower the listener, reflecting the persona or advocacy of the artist, giving a sense of agency or social power; or lyrics could reflect collective experiences or shared social causes, influencing social bonds.

Second: I have made one comment under a single item that appears to capture a lack of meaning, instead of referring to a specified musical-meaning construct. My suggestion is to include specific examples of lack of meaning, or inability to grasp meaning even when trying for each construct individually. I explicitly suggest these two ideas (inability to find meaning, and searching for meaning) be separated out. This will allow for individual motivations to find meaning and predispositions towards identifying certain types of meaning are not confused.

For example, with the musical structure construct items that reflect a lack of meaning could included ""I felt lost when listening to music because I didn't understand its structure"". Similarly the self construct might be ""I struggle to find personal connections to songs I hear (on the radio / for the first time.)"", or ""I rarely find songs that resonate with my personal experiences.""

Third: Some items appear to reflect different degrees of 'depth of meaning' with regard to the complexity or emotional richness they reference. For example, the difference between an important and personal memory, as opposed to, being reminded of someone you know possibly not particularly well. 

I was wondering if this was considered during the operationalisation of these constructs. While the degree of emotional depth any individual has with a piece of music would appear to be captured by simply identifying how many types of musical meaning a participant identifies as important, without acknowledging that certain items may reference a greater degree of depth of meaning than others may skew the results. ",TML,British
2024-10-14 11:08:29,2024-10-14 12:42:20,IP Address,100,5630,True,2024-10-14 12:42:21,R_4Mi8ukPtRMgh5y9,anonymous,EN,1,Yes,Yes,Moderately Relevant,"Two comments: (1) 'the content of the music' - to me, it could refer to either the musical features or the lyrics of the music. Is it important here to distinguish if it was the musical features OR the lyrics? If so, this item can be further refined. (2) ""what it was trying to say"" - could be refined to ""what it was trying to convey""",Slightly Relevant,"I'm not sure if this item is categorized under 'Musical structure'? because it sounds like it may involve some other memory mechanisms that is not directly related to musical structure per se. ",Extremely Relevant,,Slightly Relevant,Trying or being (un)able to music is not very informative about the role of Musical structure / self / source,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,"I wonder if 'musical structure' here is too general here - if it is worth to break it down into melodic, harmonic, rhythmic structure?",Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,"In my opinion, it is unclear if this item is designed for Musical structure or Self",Moderately Relevant,,Moderately Relevant,"Is there a reason why this item asks ""I tried to understand"" vs ""I could understand what the music..""?",Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,"I'm unsure the motivations for how music could ""affect"" personal identity, as compared to ""reflect"" personal identity? But I do think that an item of music and personal identity is relevant.",Extremely Relevant,,Extremely Relevant,"Minor note on sentence structure: ""... to fully appreciate it."" instead of ending the sentence with ""fully"".",Slightly Relevant,"I'm not sure how commonly (without intentional effort or guidance from a practitioner) that music could help an individual to understand him/herself in everyday life - rather, it should be more common that the music helps the individual express their certain feelings that perhaps they are not consciously aware of, but can identify with, and therefore better understand themselves.",Extremely Relevant,,Extremely Relevant,,Moderately Relevant,"""same person"" feels too specific for this item - perhaps ""the same type of people""?",Extremely Relevant,"Really like this item - but my opinion is that ""encapsulates"" could potentially be an unfamiliar word for some readers; perhaps to consider more accessible alternatives such as ""represents"" or ""captures"". In addition, does this item need to be written in the past tense instead (as with other items)?",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,"Is there a reason for values ""I want to have"" instead of ""values I have""?",Moderately Relevant,,Extremely Relevant,"Really like this item - minor comment about the wording: could consider to replace ""came on"" with ""... began playing (or started to play)""",Extremely Relevant,"could consider to refine ""meaning of myself"" with ""my personal identity""",Extremely Relevant,,Extremely Relevant,,Not Relevant,Unsure the meaning or intent of this sentence. What I understood is: the emotional experience was so important that I had to create my own music to represent it.,Extremely Relevant,"Really like this item too, but it would be good to minimize the use of 'or' so that the item is more definitive. Could also consider ""cultural heritage"" instead of ""cultural history""",Extremely Relevant,"Like this item - but consider to refine ""I got meaning"" with ""I derived meaning from the music by...""",Moderately Relevant,"I like the intent of this sentence, but I think the sentence structure makes it a little difficult to read. Could consider to remove ""for what it means to me now"" - I guess the sentence is trying to measure if the individual felt (and thus implicitly conveying 'what it means to me now') that the music was representative of a particular era. Also, would it be ""a"" relic instead of ""an"" relic?",Extremely Relevant,,Extremely Relevant,"could replace the ""/"" with ""or""",Extremely Relevant,"If there isn't another item that asks about the interpretation of the performer, I might either add this content here or create another item that asks about that.",Slightly Relevant,"I think that the item itself reads fine, but it seems to me as a statement more related to Empathy than Self or Source.",Extremely Relevant,,Extremely Relevant,"In line with the other items, it would be nice to standardize 'composer' or 'artist' (and even perhaps 'performer' - depending on how much you want to distinguish between the emotions intended to be conveyed by the composer vs the performer)",Slightly Relevant,"I assume that this item is categorized under 'Source', but knowing ""what was popular"" does not seem to have much utility in measuring the contributions of 'Source'",Extremely Relevant,"""up to date"" should require hyphens: ""up-to-date"", or perhaps just ""updated""",Extremely Relevant,"Minor comment: consider to refine as ""I listened to the music...""",Extremely Relevant,,Moderately Relevant,"I like this item about music and political attitude, but I wonder if people usually listen to music to express their political attitude, or would it be more of a social phenomenon - like people share the music they listen to with others to show that they support a particular political stance, vs just simply listening to the music for the purposes of expressing their political attitude.",Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Not Relevant,Unsure the utility of this item - What does knowing about whether someone found meaning of the music similar to other songs he/she know tell us about Musical meanings?,Extremely Relevant,"Typo: ""its meaning"" instead of ""it's meaning""","In general, I think that items for Musical Structure are mostly covered at a very broad level using the term 'musical structure' - I wonder if it would be useful to break it down a little to have smaller components: melodic developments, harmonic or rhythmic structure, timbre, complexity - for e.g., ""I appreciated the melodic developments in the music."" 

For items in Self, one interesting aspect that could be included is scenarios whereby sometimes an individual's private listening persona may differ as compared to a public persona due to peer or social affiliations (e.g. I like to listen to Classical music in private but may agree to go to a Rock music concert because my friends go to these concerts). This concept may have been covered in Group cohesion / socialization.

For items in 'Source', generally I think it is a matter of how much you want to distinguish between a composer's actual intent for the music vs how the performer interprets it - that could affect the construction of some items. 

",HNTU,Singaporean
