StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,"18yrold ","Consent ","RC1 ","RC1_note ","RC3 ","RC3_note ","RC4 ","RC4_note ","RC5 ","RC5_note ","RC6 ","RC6_note ","RC7 ","RC7_note ",RC9,RC9_note,"RC13 ","RC13_note ","RC17 ",RC17_note,"RC18 ","RC18_note ","RC20 ","RC20_note ","RC22 ","RC22_note ","RC25 ","RC25_note ","RC26 ","RC26_note ","EF2 ","EF2_note ","EF3 ","EF3_note ","EF4 ","EF4_note ","EF6 ","EF6_note ","EF7 ","EF7_note ","EF9 ","EF9_note ","EF10 ","EF10_note ","EF12 ","EF12_note ","EF14 ","EF14_note ","EF15 ","EF15_note ","EF17 ","EF17_note ","EF19 ","EF19_note ",EF19 ,"EF19_note ","EF20 ","EF20_note ","EF22 ","EF22_note ","EF23 ","EF23_note ","End_eval ","IDcode ","Nationality "
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Are you aged 18 or older?,Do you consent to taking part in this study?,The music was comforting to me,Notes on this item,The music helped me process my emotions,Notes on this item,I felt like the music supported my ideas,Notes on this item,The music pushed my worries aside,Notes on this item,The music helped me understand different feelings in myself,Notes on this item,The music made me feel secure,Notes on this item,Listening to music comforted me,Notes on this item,I found solace in the music,Notes on this item,I used the music to cope with my situation,Notes on this item,The music was therapy of my soul,Notes on this item,The music let me reflect on how I was feeling,Notes on this item,I was reflecting on how others might feel toward this music,Notes on this item,The music helped me cope with how the situation made me feel,Notes on this item,I controlled my feelings by processing them through the music,Notes on this item,Listening to music allows me to express myself,Notes on this item,The music expressed what I could not,Notes on this item,The music alleviated inner tension I had,Notes on this item,I vented my emotions by listening to music that expressed my feelings,Notes on this item,The music told me what I needed to hear,Notes on this item,I wanted the music to express something other than what I was feeling,Notes on this item,The music let me vent my frustration,Notes on this item,Listening to music helped me express how I was feeling,Notes on this item,I listened to the music for the feeling it conveyed to me,Notes on this item,I wanted to express my emotions after hearing the music,Notes on this item,The music helped me express myself,Notes on this item,The music let me express how I felt about someone,Notes on this item,The music expressed to others how I felt,Notes on this item,It was an appropriate time to use music to express my feelings,Notes on this item,I was careful in how I expressed my emotions after hearing the music,Notes on this item,I used the music to express how I was feeling,Notes on this item,Were there aspects of Personal Emotion Processing which you thought were missing or under represented in the item pool? Or similar concepts missing which need to be addressed?,"Please input an identification code using this format: ""initial of your last name + institutional abbreviation"" 

For example, someone named 'Kirts' at 'Durham University' would write the code: KDU",What is your nationality?
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1217486632""}","{""ImportId"":""QID1217486633""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID1217486626_TEXT""}","{""ImportId"":""QID1217486627_TEXT""}","{""ImportId"":""QID1217486628_TEXT""}"
2024-07-16 11:28:40,2024-07-16 11:31:32,IP Address,100,171,True,2024-07-16 11:31:33,R_2fwtrw8CALScmtj,anonymous,EN,,,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,"can be answered in many other episodes too (EDR, FM)",Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,,,
2024-08-12 17:23:01,2024-08-12 17:34:18,IP Address,100,677,True,2024-08-12 17:34:19,R_2IafUWAsi6aIwHZ,anonymous,EN,,,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Slightly Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Not Relevant,,Slightly Relevant,,Extremely Relevant,,Moderately Relevant,,Not Relevant,,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,,Not Relevant,,Not Relevant,,Moderately Relevant,,,,
2024-09-18 17:24:35,2024-09-23 16:52:15,IP Address,100,430060,True,2024-09-23 16:52:16,R_25pixc7STRanGg1,anonymous,EN,1,Yes,Yes,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,Find this one hard to answer,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,Not sure how to answer this,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,,What is a soul?! I don't know how to understand 'soul'!! Maybe that is just me?,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,,"'through' is maybe not the right word? ",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Not Relevant,,Extremely Relevant,,Not Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,,Slightly Relevant,,Moderately Relevant,,"What is a soul? I just can't engage with it as a concept and I fear it would alienate people. ",OUoY,british
2024-10-03 09:23:53,2024-10-03 09:31:05,IP Address,100,432,True,2024-10-03 09:31:06,R_8gwfRPnWYweJZcW,anonymous,EN,1,Yes,Yes,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,wording a bit complex,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Slightly Relevant,,Extremely Relevant,,,JDU,USA
2024-10-04 13:06:30,2024-10-04 14:29:09,IP Address,100,4958,True,2024-10-04 14:29:10,R_8JLe9h6600ilGje,anonymous,EN,1,Yes,Yes,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,Not Relevant,doesn't seem to capture the processing of emotions. Perhaps this is closer to EDR: distraction,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Slightly Relevant,soul blends with the more spiritual elements of AIA,Extremely Relevant,,Slightly Relevant,"Blends with CB episodes, but could equally be the desired emotion insight wanted from the music (PEP)",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,"emotionally, socially, cognitively, or all of the above? ",Moderately Relevant,,Slightly Relevant,"could be confused with a purely arousal focused modulation (FM episodes), instead of more nuanced emotions implied by PEP ",Extremely Relevant,,Moderately Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,Not Relevant,"This seems true of all episodes, if each episode has an affective component",Not Relevant,"This appears to capture a new goal generated by listening to music, presumably for another purpose first. Feeling more comfortable expressing emotions after processing them seems to me like a possible outcome of a PEP episode over others, but I wouldn't say that it is the initial goal of a PEP episode as described in the documentation",Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,"autobiographical memories and other associative values attached to music didn't appear as commonly as I anticipated. For example, music as reflective of old memories or feelings that have successfully been processed / reappraised, but there is still something comforting in the nostalgia of this action.",TML,"British "
2024-10-06 15:15:12,2024-10-06 15:24:13,IP Address,100,540,True,2024-10-06 15:24:14,R_8tEHND1dKpCt8Qb,anonymous,EN,1,Yes,Yes,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Slightly Relevant,EDR?,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,therapy FOR my soul,Extremely Relevant,,Slightly Relevant,,Extremely Relevant,,Moderately Relevant,"don't like the expression ""control my feelings"", maybe ""navigating""?",Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,"the word ""vent"" feels out of place here",Moderately Relevant,,Slightly Relevant,don't completely understand item,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,the item is a bit cumbersome,Moderately Relevant,,Extremely Relevant,,Moderately Relevant,more about the Social episode?,Moderately Relevant,Social episode?,Slightly Relevant,"the ""appropriate time"" feels a bit to answer",Slightly Relevant,,Extremely Relevant,,"maybe some overlap with the other episodes (EDR, CB...)",KYU,German
2024-10-06 18:45:11,2024-10-06 18:57:52,IP Address,100,760,True,2024-10-06 18:57:52,R_71aUq0JSUcUrZiD,anonymous,EN,0.5,Yes,Yes,Moderately Relevant,Also relevant to EDR - relaxation,Extremely Relevant,,Slightly Relevant,"Related somewhat to reflection/coping construct, but also overlaps with MM",Moderately Relevant,This seems more relevant to EDR - distraction,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,,"Should this say ""to my soul""? Also relevant to EDR- relaxation",Extremely Relevant,"Could also say ""helped me reflect on how I was feeling""",Moderately Relevant,Also relevant to CB - socialisation,Extremely Relevant,,Moderately Relevant,Also relevant to LMA - emotional,Extremely Relevant,"Reflects the identity aspect of PEP, and also self construct of MM",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,Slight overlap with LMA - emotional but highly relevant,Slightly Relevant,"This is somewhat ambiguous in meaning, and seems relevant also to MM",Moderately Relevant,"Relevant to ""expressing feelings"" construct and ""coping"". Is this meant to imply the respondent feels negatively, or any emotion state differing from what's expressed?",Extremely Relevant,,Extremely Relevant,,Moderately Relevant,This seems relevant to MM - Source and E/R schemes as well.,Extremely Relevant,,Extremely Relevant,Also relevant to MM - self,Moderately Relevant,"Also relevant to CB - socialisation ",Moderately Relevant,"Also relevant to CB - socialisation ",Extremely Relevant,,Extremely Relevant,Also relevant to LMA - emotional,Extremely Relevant,,"I noticed the prompts didn't include the word ""reminded"", such as ""the music reminded me of a place I've been"". This might have some semantic overlap with the association construct of LMA or self construct of MM, but seems relevant to the Reflection/coping construct here",AMU,Canadian
2024-10-07 19:49:46,2024-10-07 20:35:59,IP Address,100,2773,True,2024-10-07 20:36:00,R_2oFpcjx5dLgom1X,anonymous,EN,1,Yes,Yes,Moderately Relevant,"Captures the emotional support aspect nicely, and I start to feel now that although there is some possible 'social' angle here, it is distinct from the CB episode",Extremely Relevant,Good.,Slightly Relevant,An interesting item. I suspect this may be a bit tricky to answer?,Not Relevant,"To me, this is more of an EDR episode item?",Moderately Relevant,Seems good,Moderately Relevant,"Similar to item on 'comfort', so I think this works.",Moderately Relevant,Looks okay,Moderately Relevant,Yes seems relevant and familiar as an item.,Moderately Relevant,Yes seems okay,Slightly Relevant,The wording feels a little off with this one? Less sure of the relevance,Moderately Relevant,"Yep, seems okay",Slightly Relevant,Less sure of this one? It aligns with the social / transactional. Perhaps the item does work...,Moderately Relevant,Good.,Moderately Relevant,Seems clear.,Moderately Relevant,"Fairly broad item, but I think this aligns with the episode",Moderately Relevant,Seems good,Moderately Relevant,"The wording is perhaps a bit odd, but relevant item.",Moderately Relevant,"It is a fairly specific item in some ways; can listeners also use music to vent emotions, without the music expressing/matching their feelings?",Moderately Relevant,"The item brings to mind the concept of social surrogacy in a way, as if the music is some social 'partner' for the listener?",Slightly Relevant,"I think this makes sense, but also brings to mind some aspects of the EDR episode too? So less sure of direct relevance here.",Moderately Relevant,Seems okay to me!,Moderately Relevant,Fine.,Moderately Relevant,Looks okay,Moderately Relevant,"Quite interesting item, wonder what this might reflect (e.g., music giving someone motivation to express emotions 'after' listening). ",Extremely Relevant,Good.,Slightly Relevant,"I see some of the relevance here, but perhaps it is a question of crossover with the CB episode (though this brings to mind the 'associations' of the PEP episode as well).",Moderately Relevant,"Even with the 'others' in this item, still feels like quite a clean self-identity item.",Moderately Relevant,Fine,Moderately Relevant,"Again, an interesting item. ",Moderately Relevant,Seems okay,"I was not sure if I saw the idea of 'recalling associations' come through so clearly across the items, and I am not sure if stimulating identity is distinct from self-expression across the items? But that may just be my 'gut feeling' read of the items. I do feel that some of the emotional support items have a flavour of social connection to them (possibly some crossovers with PEP and CB episodes), depending on how people may intuitively respond.

Also apologies, as I did behaved as a typical participant and did not really use the full range of the relevance scale, where perhaps I should have! I will try more with the next episodes.",BLU,British
