StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,"18yrold ","Consent ",QU1,"QU1_note ","QU3 ","QU3_note ","QU4 ","QU4_note ","QU5 ","QU5_note ","QU7 ","QU7_note ","QU8 ","QU8_note ","PO1 ","PO1_note ","PO2 ","PO2_note ","PO3 ","PO3_note ","PO4 ","PO4_note ","PO5 ","PO5_note ","PO6 ","PO6_note ","PO8 ","PO8_note ","PO9 ","PO9_note ","FA1 ","FA1_note ","FA2 ","FA2_note ",FA4,"FA4_note ","FA5 ","FA5_note ","FA6 ","FA6_note ","FA10 ","FA10_note ","End_eval ","IDcode ","Nationality "
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Are you aged 18 or older?,Do you consent to taking part in this study?,"I experienced physical sensations (tears, shivers, etc.) while listening to the music",Notes on this item,I got chills or goosebumps from the music,Notes on this item,"The music changed my body (e.g. heartbeat, prickling, chills)",Notes on this item,Listening to the music gave me goosebumps,Notes on this item,The experience had me on the verge of crying from the song,Notes on this item,The music sent shivers down my spine,Notes on this item,This experience informed me about what music I like,Notes on this item,I was looking to find new music,Notes on this item,I expected to encounter new music,Notes on this item,I knew I was hearing the song for the first time,Notes on this item,I listened to music because it sounded like it would fit into my life,Notes on this item,I listened to the music to inform myself about what was happening in the musical scene,Notes on this item,I wanted to leave because of the music,Notes on this item,I had to listen to the music when I wanted,Notes on this item,I was compelled to listen because the song is so familiar,Notes on this item,I am familiar with the musical genre,Notes on this item,The music suits this experience,Notes on this item,The experience had a familiar vibe because of the music,Notes on this item,The music evoked a familiar feeling during the experience.,Notes on this item,I intentionally chose to listen to familiar songs over unfamiliar ones,Notes on this item,"Were there any aspects missing or not represented in the items presented for either Qualia, Exposure, or Reward associated with music? Or similar concepts missing which need to be addressed?","Please input an identification code using this format: ""initial of your last name + institutional abbreviation"" 

For example, someone named 'Kirts' at 'Durham University' would write the code: KDU",What is your nationality?
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1217486653""}","{""ImportId"":""QID1217486654""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID1217486655_TEXT""}","{""ImportId"":""QID1217486656_TEXT""}","{""ImportId"":""QID1217486657_TEXT""}"
2024-07-16 11:16:19,2024-07-16 11:20:33,IP Address,100,254,True,2024-07-16 11:20:34,R_2Cf2dBdSfJYGbo2,anonymous,EN,,,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,,Moderately Relevant,,Slightly Relevant,,Moderately Relevant,"Difficult to rate, it seems to be about the contents of the music",Extremely Relevant,,Slightly Relevant,seems to be about the context (the time and agency) I want to listen to the music.,Moderately Relevant,,Moderately Relevant,,Slightly Relevant,feels like a contextual question (the experience...),Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,,,
2024-08-12 18:49:54,2024-08-12 18:52:28,IP Address,100,154,True,2024-08-12 18:52:29,R_2kO02HKoDXkKCMP,anonymous,EN,,,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Moderately Relevant,,Slightly Relevant,,Slightly Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,,,
2024-09-06 13:53:13,2024-09-06 13:53:26,Survey Preview,100,12,True,2024-09-06 13:53:27,R_2EXMWwe2EzVuibT,preview,EN,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06 13:53:29,2024-09-06 13:53:42,Survey Preview,100,13,True,2024-09-06 13:53:43,R_2attmAr0CdY4LQp,preview,EN,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06 13:53:44,2024-09-06 13:54:39,Survey Preview,100,54,True,2024-09-06 13:54:39,R_2fDJHFrWEmmuG53,preview,EN,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDU,
2024-10-02 19:10:38,2024-10-02 19:15:22,IP Address,100,284,True,2024-10-02 19:15:23,R_24FtIGG1mGLXaPT,anonymous,EN,1,Yes,Yes,Moderately Relevant,"other possible option would be to provide separate subquestions for tears vs shivers etc, but this might be too long",Extremely Relevant,,Slightly Relevant,wording is a bit funny,Extremely Relevant,,Slightly Relevant,"""The song had me on the verge of crying"" seems a clearer wording",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,wording a bit confusing,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,,JDU,USA
2024-10-05 14:14:49,2024-10-05 17:07:43,IP Address,100,10374,True,2024-10-05 17:07:44,R_8ookceCJT5XiyJm,anonymous,EN,1,Yes,Yes,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Extremely Relevant,,Moderately Relevant,,Extremely Relevant,,Slightly Relevant,"Seems like it relates more to a situational expectation, but lacks the explicit motivation of looking for new music or the reward of finding it.",Extremely Relevant,"This phrasing of familiarity type could be confused with a more metaphorical interpretation. E.g., I know the song and have done for years, but when I heard someone else sing it ""I was hearing it for the first time"". Suggestion: ""I knew I'd never heard the song before""?",Extremely Relevant,,Moderately Relevant,,Extremely Relevant,"It is very important response to include as sensory displeasure, but doesn't give much indication of why (cognitive or physical displeasure), because the music triggered an unwanted memory, because I wasn't in the mood for new music, etc. These comments might not be an important distinction for this descriptive scheme and can be captured in others",Slightly Relevant,"It captures the goal or desire / need for music but I don't see its relation to Exposure, Familiarity,  Preferences, or Physical reactions. This seems like it describes knowledge of reward from music, but better captures the degree of motivational relevance an individual places on music generally. As well as suggesting the individual wants a strong degree of agency in their music selection",Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,Moderately Relevant,,Extremely Relevant,,"With regard to the 4 constructs in the scheme, there appears to be more that could be added to capture the multi-dimensionality of each. 

Exposure: this appears to capture more of the examples where exposure has occurred and is important in building liking. However, the alternative end to this dimensions is neglected - 'Novelty'. The perception of change in stimuli and the reward of finding something new are most certainly tied to novelty evaluations. Similarly, I would argue that a greater focus on 'Goal-congruence' would help better capture this construct. The ""reward of finding something new"" aligns with an appraisal of whether the novelty is congruent with the individual's goals - whether encountering something new serves a positive, rewarding function.

Phrased more simply, a greater focus on exposure to novel experiences is a valuable and form of exposure in its self.

Familiarity: is logically very closely tied to the above comments for exposure. However, given the operational definition in the documents, I would add that familiarity here should be expanded to capture the 'anticipation of reward' either as cognitive, emotional, or physical reward.

Preference: seems very tied into the degree of goal-congruence a stimuli has based on previous experience. The examples here seem to miss the range of congruence to non-congruence that a stimuli could be assessed as i.e. developing disliking though previous exposure to non-congruent stimuli.

Physical Reactions: Bodily experiences can be a focus of appraisal themselves - 'embodied appraisal'. In reference to the above comments I would suggest that bodily sensations are appraisal as part of 'Exposure' be this a novel bodily sensation or a familiar one. Preference too for certain bodily sensations might build over time or vary by situational context. Finally, there is the degree of 'coping potential' regarding physical responses. For example, some physical responses may not always be desired. Crying for instance, while often pleasant, might be non-congruent with the context or be negatively overwhelming in emotionally. Overexposure might physically manifest itself as fatigue, boredom, or irritation. Or familiarity and exposure too a disliked genre of music might build physical experiences of tension.

I hope these comments are helpful in trying to operationalise these constructs and help to capture the inherent interrelatedness between them. 

",TML,British
2024-10-06 01:00:08,2024-10-06 01:37:06,IP Address,100,2217,True,2024-10-06 01:37:06,R_3vZKxmgLQXWpKdA,anonymous,EN,0.4000000059604645,Yes,Yes,Extremely Relevant,Related to physical reactions construct,Extremely Relevant,Related to physical reactions construct,Moderately Relevant,"Highly relevant to physical reactions, but also bodily construct of LMA",Extremely Relevant,"Similar to ""I got chills or goosebumps from the music"" prompt from before",Moderately Relevant,"Should this say ""crying to the song"", or ""crying in response to the song""? Overlap with PEP - expressing feelings or EDR - Distraction",Extremely Relevant,Related also to LMA - bodily,Extremely Relevant,"Related to preferences, as well as associational construct of LMA",Extremely Relevant,"Relevant to ""exposure"" construct. I was curious about whether this implies the experience leads to the desire for new music, as opposed to AIA - Curiosity, where the music leads to the desire for new experiences",Slightly Relevant,"I had thought E&R related to exposure and responses to music, rather than about expectation about experiences with music",Moderately Relevant,"Relates to ""exposure"".",Extremely Relevant,Relevant also to musical meaning - self,Slightly Relevant,Seems more relevant to LMA - Reduced/causal or associative,Extremely Relevant,"Relates to ""preferences""",Slightly Relevant,"""I had to"" seems to contradict ""when I wanted"", could you remove ""had to""?",Extremely Relevant,,Extremely Relevant,Also relevant to LMA,Slightly Relevant,"Somewhat relevant to ""exposure"" construct. Could also relate to LMA - associative construct",Extremely Relevant,,Extremely Relevant,Also relevant to LMA - associative,Extremely Relevant,,"Perhaps more qualia-related items could be included. For example ""An abrupt change in the music made my skin crawl""",AMU,Canadian
2024-10-06 14:31:20,2024-10-06 14:35:45,IP Address,100,265,True,2024-10-06 14:35:46,R_2cEwJxIQlPjTJex,anonymous,EN,1,Yes,Yes,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,"technically it doesn't change the BODY, but maybe bodily sensations/processing?",Moderately Relevant,repetitiomn,Extremely Relevant,,Extremely Relevant,,Extremely Relevant,,Slightly Relevant,,Slightly Relevant,,Extremely Relevant,,Slightly Relevant,,Moderately Relevant,,Not Relevant,,Slightly Relevant,"why ""had to""?",Moderately Relevant,,Extremely Relevant,,Moderately Relevant,,Slightly Relevant,,Extremely Relevant,,Extremely Relevant,,,KJYU,German
