ID,Rele_ID,Repre_ID,Item
EM18,FM_Rele_1,FM_Repre_1,The music improved my mood
EM50,FM_Rele_2,FM_Repre_2,The music was motivating me to do something
EM2,FM_Rele_3,FM_Repre_3,The music pumped me up
EM51,FM_Rele_4,FM_Repre_4,I felt energised by the music
EM52,FM_Rele_5,FM_Repre_5,I wanted to feel energised by the music
EM53,FM_Rele_6,FM_Repre_6,The music helped me manage my level of energy
EM54,FM_Rele_7,FM_Repre_7,I slowed down my energy with the music
EM14,FM_Rele_8,FM_Repre_8,Listening to music made me more alert
EM55,FM_Rele_9,FM_Repre_9,The music helped me to moderate my energy
EM56,FM_Rele_10,FM_Repre_10,I wanted the music to stimulate my energy
MF2,FM_Rele_11,FM_Repre_11,Music helped me focus on what I was doing
MF12,FM_Rele_12,FM_Repre_12,The music helped me accomplish work I needed to do
MF23,FM_Rele_13,FM_Repre_13,I chose to listen to music to help me focus
MF60,FM_Rele_14,FM_Repre_14,The music motivated me to finish the task I had to do
MF5,FM_Rele_15,FM_Repre_15,The music let me focus on the present moment
MF8,FM_Rele_16,FM_Repre_16,Being motivated by the music felt productive
MF50,FM_Rele_17,FM_Repre_17,I was more focused while listening to the music
MF52,FM_Rele_18,FM_Repre_18,The music helped me concentrate
MF53,FM_Rele_19,FM_Repre_19,The music allowed me to coordinate my actions with another person
MF54,FM_Rele_20,FM_Repre_20,The music kept me concentrated on the task I was supposed to do
MF55,FM_Rele_21,FM_Repre_21,I used the music to block out distractions 
MF56,FM_Rele_22,FM_Repre_22,Coordinating my actions to the music helped me focus
MF57,FM_Rele_23,FM_Repre_23,The music reduced my motivation 
MF58,FM_Rele_24,FM_Repre_24,The music made me less productive 
MF59,FM_Rele_25,FM_Repre_25,I used the music to motivate myself
GC1,CB_Rele_1,CB_Repre_1,I felt more connected with other people because of the music
GC50,CB_Rele_2,CB_Repre_2,The music made me feel more connected with those around me
GC2,CB_Rele_3,CB_Repre_3,I felt a bond with the other people listening to the music
GC16,CB_Rele_4,CB_Repre_4,The music made me feel more connected to a group
GC52,CB_Rele_5,CB_Repre_5,I felt like a member of a group while listening to the music
GC53,CB_Rele_6,CB_Repre_6,I felt connected with people who also listen to this music
GC11,CB_Rele_7,CB_Repre_7,I felt connected to the people I was sharing this musical experience with
GC57,CB_Rele_8,CB_Repre_8,The music brought people together
GC10,CB_Rele_9,CB_Repre_9,Sharing the music with others enhanced my enjoyment
GC55,CB_Rele_10,CB_Repre_10,The music made me feel connected to my peers or family
GC54,CB_Rele_11,CB_Repre_11,I thought of sharing this music with my peers
GC58,CB_Rele_12,CB_Repre_12,The music disconnected me from the group
GC59,CB_Rele_13,CB_Repre_13,The music made me feel excluded from the group
EF19,CB_Rele_14,CB_Repre_14,The music let me express how I felt about someone
EF50,CB_Rele_15,CB_Repre_15,The music communicated my feelings toward someone
EF24,CB_Rele_16,CB_Repre_16,The music expressed to others how I felt
MS17,CB_Rele_17,CB_Repre_17,I felt spiritually connected to other people that listen to this music
CU14,CB_Rele_18,CB_Repre_18,I wondered how other people felt about the music
SL57,CB_Rele_19,CB_Repre_19,I used the music to keep me company
SL9,CB_Rele_20,CB_Repre_20,The music made me feel connected to the people I care about
SL12,CB_Rele_21,CB_Repre_21,The music helped me feel closer to people
SL51,CB_Rele_22,CB_Repre_22,The music helped me feel less lonely
SL4,CB_Rele_23,CB_Repre_23,The music made me feel like someone understood me
SL6,CB_Rele_24,CB_Repre_24,Listening to music made me feel less lonely
SL52,CB_Rele_25,CB_Repre_25,I felt a special connection to the people I shared this music with
SL50,CB_Rele_26,CB_Repre_26,I shared the listening experience with others
SL19,CB_Rele_27,CB_Repre_27,The music felt like a friend who understood my worries
